Name;Info
Allen, Brandon;6-2, 209lb (188cm, 94kg) 
Minshew, Gardner;6-1, 225lb (185cm, 102kg) 
Murray, Kyler;5-10, 207lb (178cm, 93kg) 
Blough, David;6-1, 205lb (185cm, 92kg) 
Lock, Drew;6-4, 228lb (193cm, 103kg) 
Hodges, Devlin;6-1, 210lb (185cm, 95kg) 
McSorley, Trace;6-0, 202lb (183cm, 91kg) 
Grier, Will;6-1, 220lb (185cm, 99kg) 
Haskins, Dwayne;6-4, 230lb (193cm, 104kg) 
Rudolph, Mason;6-5, 235lb (196cm, 106kg) 
Boyle, Tim;6-4, 233lb (193cm, 105kg) 
Finley, Ryan;6-4, 207lb (193cm, 93kg) 
Stidham, Jarrett;6-3, 214lb (190cm, 97kg) 
Falk, Luke;6-4, 215lb (193cm, 97kg) 
Herbert, Justin;6-6, 237lb (198cm, 107kg) 
Tagovailoa, Tua;6-1, 217lb (185cm, 98kg) 
Hurts, Jalen;6-1, 223lb (185cm, 101kg) 
Wolford, John;6-1, 200lb (185cm, 90kg) 
Streveler, Chris;6-1, 216lb (185cm, 97kg) 
Woodside, Logan;6-1, 213lb (185cm, 96kg) 
Hinton, Kendall;6-0, 195lb (183cm, 88kg) 
Luton, Jake;6-6, 224lb (198cm, 101kg) 
DiNucci, Ben;6-3, 210lb (190cm, 95kg) 
Rypien, Brett;6-2, 202lb (188cm, 91kg) 
Stick, Easton;6-1, 224lb (185cm, 101kg) 
Lance, Trey;6-4, 224lb (193cm, 101kg) 
Wilson, Zach;6-2, 214lb (188cm, 97kg) 
Lawrence, Trevor;6-6, 213lb (198cm, 96kg) 
Mond, Kellen;6-3, 212lb (190cm, 96kg) 
Book, Ian;6-0, 206lb (183cm, 93kg) 
Fromm, Jake;6-2, 219lb (188cm, 99kg) 
Fields, Justin;6-3, 228lb (190cm, 103kg) 
Franks, Feleipe;6-6, 234lb (198cm, 106kg) 
Ehlinger, Sam;6-3, 225lb (190cm, 102kg) 
Webb, Davis;6-5, 225lb (196cm, 102kg) 
