TEAM,GP,Total_YDS,Total_YDS/G,Passing_YDS,Passing_YDS/G,Rushing_YDS,Rushing_YDS/G,Points_PTS,PointsPTS/G,Year
DAL,17,"6,919",407,"4,800",282.4,"2,119",124.6,530,31.2,2021
DEN,17,"5,618",330.5,"3,593",211.4,"2,025",119.1,335,19.7,2021
DET,17,"5,484",322.6,"3,598",211.6,"1,886",110.9,325,19.1,2021
GNB,17,"6,215",365.6,"4,315",253.8,"1,900",111.8,450,26.5,2021
TEN,17,"5,822",342.5,"3,418",201.1,"2,404",141.4,419,24.6,2021
IND,17,"5,901",347.1,"3,361",197.7,"2,540",149.4,451,26.5,2021
KAN,17,"6,746",396.8,"4,791",281.8,"1,955",115,480,28.2,2021
LVR,17,"6,184",363.8,"4,567",268.6,"1,617",95.1,374,22,2021
LAR,17,"6,325",372.1,"4,642",273.1,"1,683",99,460,27.1,2021
MIA,17,"5,219",307,"3,651",214.8,"1,568",92.2,341,20.1,2021
MIN,17,"6,168",362.8,"4,238",249.3,"1,930",113.5,425,25,2021
NWE,17,"6,008",353.4,"3,857",226.9,"2,151",126.5,462,27.2,2021
NOR,17,"5,177",304.5,"3,186",187.4,"1,991",117.1,364,21.4,2021
NYG,17,"4,884",287.3,"3,196",188,"1,688",99.3,258,15.2,2021
NYJ,17,"5,208",306.4,"3,541",208.3,"1,667",98.1,310,18.2,2021
PHI,17,"6,119",359.9,"3,404",200.2,"2,715",159.7,444,26.1,2021
ARI,17,"6,352",373.6,"4,276",251.5,"2,076",122.1,449,26.4,2021
PIT,17,"5,361",315.4,"3,778",222.2,"1,583",93.1,343,20.2,2021
LAC,17,"6,634",390.2,"4,800",282.4,"1,834",107.9,474,27.9,2021
SFO,17,"6,387",375.7,"4,221",248.3,"2,166",127.4,427,25.1,2021
SEA,17,"5,506",323.9,"3,432",201.9,"2,074",122,395,23.2,2021
TAM,17,"6,901",405.9,"5,229",307.6,"1,672",98.4,511,30.1,2021
WAS,17,"5,502",323.6,"3,441",202.4,"2,061",121.2,335,19.7,2021
CAR,17,"5,081",298.9,"3,239",190.5,"1,842",108.4,304,17.9,2021
JAX,17,"5,191",305.4,"3,436",202.1,"1,755",103.2,253,14.9,2021
BAL,17,"6,440",378.8,"3,961",233,"2,479",145.8,387,22.8,2021
HOU,17,"4,727",278.1,"3,305",194.4,"1,422",83.6,280,16.5,2021
ATL,17,"5,417",318.6,"2,699",158.8,"2,718",159.9,365,21.5,2022
BUF,17,"5,233",307.8,"2,219",130.5,"3,014",177.3,326,19.2,2022
CHI,17,"5,934",349.1,"3,444",202.6,"2,490",146.5,361,21.2,2022
CIN,17,"6,034",354.9,"3,736",219.8,"2,298",135.2,467,27.5,2022
CLE,17,"5,527",325.1,"3,592",211.3,"1,935",113.8,287,16.9,2022
DAL,17,"6,460",380,"4,281",251.8,"2,179",128.2,453,26.6,2022
DEN,17,"5,745",337.9,"3,632",213.6,"2,113",124.3,370,21.8,2022
DET,17,"5,045",296.8,"2,914",171.4,"2,131",125.4,298,17.5,2022
GNB,17,"5,298",311.6,"3,432",201.9,"1,866",109.8,289,17,2022
TEN,17,"7,032",413.6,"5,062",297.8,"1,970",115.9,496,29.2,2022
IND,17,"5,993",352.5,"3,934",231.4,"2,059",121.1,395,23.2,2022
KAN,17,"4,769",280.5,"3,108",182.8,"1,661",97.7,307,18.1,2022
LVR,17,"6,197",364.5,"4,511",265.4,"1,686",99.2,397,23.4,2022
LAR,17,"6,145",361.5,"4,484",263.8,"1,661",97.7,424,24.9,2022
MIA,17,"5,348",314.6,"3,536",208,"1,812",106.6,364,21.4,2022
MIN,17,"5,674",333.8,"3,692",217.2,"1,982",116.6,330,19.4,2022
NWE,17,"5,676",333.9,"3,157",185.7,"2,519",148.2,365,21.5,2022
NOR,17,"5,409",318.2,"3,723",219,"1,686",99.2,296,17.4,2022
NYG,17,"6,614",389.1,"4,105",241.5,"2,509",147.6,477,28.1,2022
NYJ,17,"5,499",323.5,"3,626",213.3,"1,873",110.2,340,20,2022
PHI,17,"5,484",322.6,"3,411",200.6,"2,073",121.9,308,18.1,2022
ARI,17,"6,108",359.3,"4,584",269.6,"1,524",89.6,391,23,2022
PIT,17,"6,216",365.6,"3,856",226.8,"2,360",138.8,450,26.5,2022
LAC,17,"5,976",351.5,"3,934",231.4,"2,042",120.1,407,23.9,2022
SFO,17,"5,894",346.7,"4,586",269.8,"1,308",76.9,313,18.4,2022
SEA,17,"5,615",330.3,"3,472",204.2,"2,143",126.1,321,18.9,2022
TAM,17,"5,206",306.2,"2,996",176.2,"2,210",130,347,20.4,2022
WAS,17,"6,075",357.4,"3,959",232.9,"2,116",124.5,404,23.8,2022
CAR,17,"5,760",338.8,"3,040",178.8,"2,720",160,350,20.6,2022
JAX,17,"4,820",283.5,"3,344",196.7,"1,476",86.8,289,17,2022
BAL,16,"6,361",397.6,"4,129",258.1,"2,232",139.5,455,28.4,2022
HOU,16,"5,768",360.5,"4,240",265,"1,528",95.5,418,26.1,2022
ATL,16,"5,490",343.1,"4,243",265.2,"1,247",77.9,353,22.1,2013
BUF,16,"5,410",338.1,"3,103",193.9,"2,307",144.2,339,21.2,2013
CHI,16,"6,109",381.8,"4,281",267.6,"1,828",114.3,445,27.8,2013
CIN,16,"5,891",368.2,"4,136",258.5,"1,755",109.7,430,26.9,2013
CLE,16,"5,430",339.4,"4,047",252.9,"1,383",86.4,308,19.3,2013
DAL,16,"5,458",341.1,"3,954",247.1,"1,504",94,439,27.4,2013
DEN,16,"7,317",457.3,"5,444",340.3,"1,873",117.1,606,37.9,2013
DET,16,"6,274",392.1,"4,482",280.1,"1,792",112,395,24.7,2013
GNB,16,"6,404",400.3,"4,268",266.8,"2,136",133.5,417,26.1,2013
TEN,16,"5,390",336.9,"3,496",218.5,"1,894",118.4,362,22.6,2013
IND,16,"5,468",341.8,"3,725",232.8,"1,743",108.9,391,24.4,2013
KAN,16,"5,396",337.3,"3,340",208.8,"2,056",128.5,430,26.9,2013
LVR,16,"5,340",333.8,"3,340",208.8,"2,000",125,322,20.1,2013
LAR,16,"4,877",304.8,"3,125",195.3,"1,752",109.5,348,21.8,2013
MIA,16,"5,007",312.9,"3,567",222.9,"1,440",90,317,19.8,2013
MIN,16,"5,508",344.3,"3,427",214.2,"2,081",130.1,391,24.4,2013
NWE,16,"6,152",384.5,"4,087",255.4,"2,065",129.1,444,27.8,2013
NOR,16,"6,391",399.4,"4,918",307.4,"1,473",92.1,414,25.9,2013
NYG,16,"4,920",307.5,"3,588",224.3,"1,332",83.3,294,18.4,2013
NYJ,16,"5,090",318.1,"2,932",183.3,"2,158",134.9,290,18.1,2013
PHI,16,"6,676",417.3,"4,110",256.9,"2,566",160.4,442,27.6,2013
ARI,16,"5,542",346.4,"4,002",250.1,"1,540",96.3,379,23.7,2013
PIT,16,"5,400",337.5,"4,017",251.1,"1,383",86.4,379,23.7,2013
LAC,16,"6,293",393.3,"4,328",270.5,"1,965",122.8,396,24.8,2013
SFO,16,"5,180",323.8,"2,979",186.2,"2,201",137.6,406,25.4,2013
SEA,16,"5,424",339,"3,236",202.3,"2,188",136.8,417,26.1,2013
TAM,16,"4,432",277,"2,820",176.3,"1,612",100.8,288,18,2013
WAS,16,"5,915",369.7,"3,751",234.4,"2,164",135.3,334,20.9,2013
CAR,16,"5,069",316.8,"3,043",190.2,"2,026",126.6,366,22.9,2013
JAX,16,"4,701",293.8,"3,441",215.1,"1,260",78.8,247,15.4,2013
BAL,16,"4,918",307.4,"3,590",224.4,"1,328",83,320,20,2013
HOU,16,"5,556",347.3,"3,813",238.3,"1,743",108.9,276,17.3,2013
