,Def Interceptions_Int,Def Interceptions_PD,Def Interceptions_TD,Def Interceptions_Yds,Def. Snaps_Num,Def. Snaps_Pct,Fumbles_FF,Fumbles_FL,Fumbles_FR,Fumbles_Fmb,Fumbles_TD,Fumbles_Yds,Kick Returns_Rt,Kick Returns_TD,Kick Returns_Y/Rt,Kick Returns_Yds,Name_,Off. Snaps_Num,Off. Snaps_Pct,Passing_AY/A,Passing_Att,Passing_Cmp,Passing_Cmp%,Passing_Int,Passing_Rate,Passing_Sk,Passing_TD,Passing_Y/A,Passing_Yds,Passing_Yds.1,Pos_,Punt Returns_Ret,Punt Returns_TD,Punt Returns_Y/R,Punt Returns_Yds,Receiving_Ctch%,Receiving_Rec,Receiving_TD,Receiving_Tgt,Receiving_Y/R,Receiving_Y/Tgt,Receiving_Yds,Rushing_Att,Rushing_TD,Rushing_Y/A,Rushing_Yds,ST Snaps_Num,ST Snaps_Pct,Scoring_2PM,Scoring_Pts,Scoring_TD,Tackles_Ast,Tackles_Comb,Tackles_QBHits,Tackles_Solo,Tackles_TFL,Unnamed: 0_level_0_Rk,Unnamed: 10_level_0_GS,Unnamed: 11_level_0_Sk,Unnamed: 15_level_0_Sk,Unnamed: 16_level_0_Status,Unnamed: 17_level_0_Status,Unnamed: 18_level_0_Sk,Unnamed: 18_level_0_Status,Unnamed: 1_level_0_Year,Unnamed: 20_level_0_Sk,Unnamed: 20_level_0_Status,Unnamed: 21_level_0_Sk,Unnamed: 21_level_0_Status,Unnamed: 22_level_0_Sk,Unnamed: 23_level_0_Status,Unnamed: 24_level_0_Sk,Unnamed: 24_level_0_Status,Unnamed: 25_level_0_Sk,Unnamed: 26_level_0_Sk,Unnamed: 26_level_0_Status,Unnamed: 27_level_0_Status,Unnamed: 28_level_0_Status,Unnamed: 29_level_0_Status,Unnamed: 2_level_0_Date,Unnamed: 30_level_0_Status,Unnamed: 31_level_0_Status,Unnamed: 32_level_0_Status,Unnamed: 33_level_0_Status,Unnamed: 34_level_0_Status,Unnamed: 35_level_0_Sk,Unnamed: 36_level_0_Status,Unnamed: 37_level_0_Status,Unnamed: 38_level_0_Status,Unnamed: 3_level_0_G#,Unnamed: 40_level_0_Status,Unnamed: 44_level_0_Status,Unnamed: 4_level_0_Week,Unnamed: 53_level_0_Status,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Tm,Unnamed: 7_level_0_Unnamed: 7_level_1,Unnamed: 8_level_0_Opp,Unnamed: 9_level_0_Result
439,,,,,0,0%,,,,,,,,,,,"Pettigrew, Brandon",32,48%,,,,,,,,,,,,TE,,,,,50.0%,1,0,2,11.00,5.50,11,,,,,4,14%,,,,,,,,,2.0,,,,,,,,2014.0,,,,,,,,,,,,,,,2015-01-04,,,,,,,,,,17.0,,,18.0,,29.315,DET,@,DAL,L 20-24
440,,,,,,,,,,,,,,,,,"Pettigrew, Brandon",,,,,,,,,,,,,,TE,,,,,71.4%,5,0,7,12.00,8.57,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Games,,,,,,,,,,,,,,,,,,,0-2-0
441,,,,,,,,,,,,,,,,,"Fasano, Anthony",,,,,,,,,,,,,,TE,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2006.0,,,,,,,,,,,,,,,2007-01-06,,,,,,,,,,17.0,,,18.0,,22.261,DAL,@,SEA,L 20-21
442,,,,,,,,,,,,,,,,,"Fasano, Anthony",,,,,,,,,,,,,,TE,,,,,50.0%,1,0,2,5.00,2.50,5,,,,,,,,,,,,,,,2.0,*,,,,,,,2007.0,,,,,,,,,,,,,,,2008-01-13,,,,,,,,,,17.0,,,19.0,,23.268,DAL,,NYG,L 17-21
443,,,,,,,,,,,,,,,,,"Fasano, Anthony",,,,,,,,,,,,,,TE,,,,,0.0%,0,0,0,,,0,,,,,,,,,,,,,,,3.0,*,,,,,,,2008.0,,,,,,,,,,,,,,,2009-01-04,,,,,,,,,,17.0,,,18.0,,24.259,MIA,,BAL,L 9-27
444,,,,,0,0%,,,,,,,,,,,"Fasano, Anthony",72,87%,,,,,,,,,,,,TE,,,,,66.7%,2,0,3,3.00,2.00,6,,,,,0,0%,,,,,,,,,4.0,*,,,,,,,2013.0,,,,,,,,,,,,,,,2014-01-04,,,,,,,,,,17.0,,,18.0,,29.259,KAN,@,IND,L 44-45
445,,,,,,,,,,,,,,,,,"Fasano, Anthony",,,,,,,,,,,,,,TE,,,,,60.0%,3,0,5,3.67,2.20,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 Games,,,,,,,,,,,,,,,,,,,0-4-0
446,,,,,0,0%,,,,,,,,,,,"Green, Ladarius",48,84%,,,,,,,,,,,,TE,,,,,100.0%,3,1,3,11.33,11.33,34,,,,,19,79%,,6,1,,,,,,1.0,*,,,,,,,2013.0,,,,,,,,,,,,,,,2014-01-05,,,,,,,,,,17.0,,,18.0,,23.221,SDG,@,CIN,W 27-10
447,,,,,0,0%,,,,,,,,,,,"Green, Ladarius",29,57%,,,,,,,,,,,,TE,,,,,66.7%,2,0,3,3.50,2.33,7,,,,,17,77%,,0,0,,,,,,2.0,*,,,,,,,2013.0,,,,,,,,,,,,,,,2014-01-12,,,,,,,,,,18.0,,,19.0,,23.228,SDG,@,DEN,L 17-24
448,,,,,Inactive,Inactive,,,,,,,,,,,"Green, Ladarius",Inactive,Inactive,,,,,,,,,,,,TE,,,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,,Inactive,Inactive,,Inactive,Inactive,,,,,,3.0,Inactive,,,,,,,2016.0,,,,,,,,,,,Inactive,,,,2017-01-08,,,,,,,,,,,,,18.0,,,PIT,,MIA,W 30-12
